																
																
	"strain"	"ARLS"	"R0"	"G"	"CLS"	"strain"	"Tc"	"Tc.sd"	"Tg"	"Tg.sd"	"Nloh"	"Pblack.0"	"R0.5.0"	"Pb.max"	"R0.5.max"	
	"101S"	31.3276125	0.0012098	0.1421899	3.3935315	"101S"	4.71750965069987	0.325684804146155	6.10838721776838	1.29099776409372	3	0.00286726260752235	0.000169635284139101	0.0117647058823529	0.0281124497991967	
	"M1-2"	27.8696845	0.0024437	0.128362	10.370586	"M1-2"	6.51216854503019	0.668501161498588	6.93055555555555	0.876321753019297	3	0.00180416598327046	0.000164609053497942	0.0312382386149792	0.0044158972300281	
	"M13"	26.6502041	0.0029551	0.1252717	16.27332	"M13"	8.51557167475924	0.974685592138938	11.3122504420572	0.67413878587192	3	0.00191597098672506	0.000137381508448963	0.140756302521008	0.0116959064327485	
	"M14"	36.5844444	0.0018812	0.0949553	7.212224	"M14"	4.18630251443375	1.03951731294831	7.27567407146154	0.713438086868484	3	0.00854244527495996	0.00135795763172189	0.175675675675676	0	
	"M2-8"	24.7707937	0.0041838	0.1193465	4.124016	"M2-8"	4.44732731263971	0.92769477244608	4.58342217692891	0.495328839178448	4	0.00257289879931389	0.00100574712643678	0.0218579234972678	0.0114285714285714	
	"M32"	28.1375	0.0017568	0.1417765	6.422428	"M32"	8.21443062498525	0.609803233736454	8.20833333333333	0.649519052838329	3	0.0121841155234657	0.00231267345050879	0.0236712818222421	0.00750117205813408	
	"M34"	26.8427467	0.0012919	0.1629953	5.167521	"M34"	5.00346407256466	1.95115437677918	6.5068962	1.70186448428546	5	0.00886834873844617	0.00178026449643947	0.0633693972179289	0.0203539823008849	
	"M5"	36.7428872	0.004031	0.0681621	4.93462466666667	"M5"	6.08012247858242	0.202691633122399	8.67844954643315	0.732401189671677	3	0.00163296068333124	0.000126023944549464	0.223781998348473	0.0553064275037371	
	"M8"	35.0913889	0.0003775	0.1619232	10.49283	"M8"	7.27728532597495	3.27961302991182	11.6431050241771	4.59888558522432	3	0.00577796120511762	0.000208768267223382	0.185265438786566	0.0602409638554217	
	"YPS128"	34.9985297	0.0011183	0.1209893	3.309616	"YPS128"	5.4018141985468	1.83007383093045	8.12937915933784	4.45271636196212	4	0.00260393890073175	0.000623016964753311	0.292085829875518	0.0753012048192769	
	"YPS163"	34.3930769	0.0008251	0.13509	4.1845025	"YPS163"	5.00544481976257	0.67344942592163	6.84944099484426	3.01160704674266	3	0.00295285612463089	0.000512137662603708	0.186234817813765	0.0399999999999998	
	"BY4743"	"33.2±0.9"	"0.0040±0.0013"	"0.08±0.01"	"9.7±1.7"	"BY4743"	15.0689397508392	"NA"	16.3270167098441	"NA"	1					
	"rad52DD"	"NA"	"NA"	"NA"	"NA"	"rad52DD"	2.6429055	0.590879363056735	4.82598305	2.89697413180268	4					
	"SGU57"	23.5713436	0.0080278	0.0901459	9.258796	"SGU57"	3.6366681572143	"NA"	4	"NA"	1					
																
																
																
	"strain"	"Nloh"	"Tc"	"Tc.sd"	"Tg"	"Tg.sd"	"Tmmax"	"Tmmax.sd"	"Tbmax"	"Tbmax.sd"	"Td"	"Td.sd"	"Tdmax"	"Tdmax.sd"	"b.max"	"b.max.sd"
	"101S"	3	4.57928522331545	0.410432469413152	5.69020676132178	0.914602751454116	5.48333333333333	0.416333199893227	5.63333333333333	0.929157324317757	4.781928437462	0.397857536265557	5.63333333333333	0.929157324317757	0.00163312713367008	0.000320996221771516
	"BY4743"	1	15.0689397508392	"NA"	13.5828958264739	"NA"	17.1	"NA"	12	"NA"	13.125	"NA"	12	"NA"	0.00469128329297821	"NA"
	"M1-2"	3	6.27640173125879	0.384281595878042	6.93055555555555	0.876321753019297	7.31666666666667	0.453688586293874	6.83333333333333	0.927811043981118	6.93055555555555	0.876321753019297	6.83333333333333	0.927811043981118	0.0014519735761014	0.0000374050814692525
	"M13"	3	8.0071553838233	0.292065435115147	11.0558429486241	1.02541750116984	9.43333333333333	0.354729944229879	11.0833333333333	1.02996763703203	9.24305555555554	1.53041124042355	11.0833333333333	1.02996763703203	0.0014740368594754	0.000579646778320149
	"M14"	3	3.9619822576233	1.15622163364181	7.04334808006306	0.502239627972113	4.9	1.00374299499424	7.01666666666667	0.464578662158879	5.83872096163945	1.84670424612818	7.01666666666667	0.464578662158879	0.00462291094389003	0.00183250782319512
	"M2-8 "	4	4.12377653568811	0.65543386340908	4.50392936502219	0.429264819970147	5.1	0.811377429642539	4.4875	0.455292945988258	5.86907799701464	1.74591957291936	4.4875	0.455292945988258	0.0028167536553827	0.00166282671074722
	"M32"	3	7.96506025998485	0.721849221689173	7.41553657061987	1.78867310567343	9.73333333333333	1.62583311976763	7.35	1.7514279888137	8.20833333333333	0.649519052838329	7.35	1.7514279888137	0.0104383057718573	0.00121067750287438
	"M34"	4	6.73249013921462	1.49677273335583	8.21468096140173	1.31707173393098	8.325	1.96532440070336	8.3	1.34598167397133	8.3830576436922	0.562369830961822	8.3	1.34598167397133	0.00364885512989172	0.00271180060718798
	"M5"	3	5.91730618915514	0.441904446643098	7.81627884987076	1.49778715603854	7.05	0.264575131106459	7.83333333333333	1.6750621879003	6.54615279928197	0.636496065951337	7.83333333333333	1.6750621879003	0.00123113101096885	0.000554551607912653
	"M8"	3	6.78521896075966	2.43717292557462	11.4664399450394	4.40624051419121	8.21666666666667	2.98384539367128	11.5166666666667	4.44756487679869	10.6459733627763	4.44298243747866	11.5166666666667	4.44756487679869	0.00385096205224965	0.000270891292715319
	"Rad52DD"	4	2.64927758916234	0.576509496354252	4.99055604930375	2.46440996169571	2.625	0.494132236012453	5.0375	2.48675658908011	"NA"	"NA"	"NA"	"NA"	0.126612863378246	0.0327894838681276
	"SGU57"	1	3.6366681572143	"NA"	6.83272846360856	"NA"	4.65	"NA"	0.15	"NA"	"NA"	"NA"	"NA"	"NA"	0.0575539568345324	"NA"
	"YPS128"	2	6.8019544426339	0.080861037739186	10.3687141562161	2.32072025369724	8.875	0.176776695296637	10.375	2.36880771697494	8.18874752462782	1.68114287156611	10.375	2.36880771697494	0.0121263360892129	0.0146686360804134
	"YPS163"	3	5.24630860568928	0.790267406030595	8.30958207600032	2.73387373619892	6.85	1.16940155635265	8.28333333333333	2.69459335212817	7.1377869789953	3.2573113231151	8.28333333333333	2.69459335212817	0.00771116127102273	0.00552733352033011
